Species,Strain,ftsZ,gltA,nuoG,rpoB,ITS,Reference
*Bartonella rochalimae*,ATCCBAA-1498,NZ_KL407337,NZ_KL407337,NZ_KL407337,NZ_KL407337,DQ683199,
*Bartonella rolaini*,C65,KP715472,KP715473,,KP715475,KP715474,[@Davoust2016]
*Bartonella rondoniensis*,clone-1-2,KX377404,,,KX377405,,
*Bartonella rudakovii*,St490,EF682092,EF682090,,EF682088,EF682087,
*Bartonella schoenbuchensis*,R1,FN645509,FN645507,FN645509,FN645507,EF418055,
*Bartonella senegalensis,OSO2,NZ_HE997541,NZ_HE997540,NZ_HE997542,NZ_HE997540,HM636451,
*Bartonella silvatica*,Fuji_23-1,AB440637,AB242287,,AB242292,AB498008,
*Bartonella silvicola*,Cul-9,,EF616479,,EF616477,EF616480,unpublished
*Bartonella tamiae*,Th239,NZ_JH725147,NZ_JH725147,NZ_JH725147,NZ_JH725147,DQ395180,
*Bartonella taylorii*,8TBB,NZ_JH725051,NZ_JH725052,NZ_JH725052,NZ_JH725052,AJ269784,
*Bartonella thailandensis*,Bthai,FJ411481,FJ411482,,FJ411483,FJ411485,
*Bartonella tribocorum*,BM1374166,NZ_HG969192,NZ_HG969192,NZ_HG969192,NZ_HG969192,AF312505,
*Bartonella vinsonii* subsp. *vinsonii*,Baker,AF467757,Z70015,EF659944,AF165997,L35102,
*Bartonella washoensis*,Sb944nv,NZ_JH725024,NZ_JH725022,NZ_JH725025,NZ_JH725022,AB674253,
*Bartonella woyliei*,WC1,HQ444150,HQ444152,,HQ444151,HQ444149,
*Brucella abortus*,Biovar-3,NZ_DS999886,NZ_DS999886,NZ_DS999883,NZ_DS999886,X95889,
*Coleura afra*,C-583,HQ832883,HM545136,,MF288100,KM382256,[@Kosoy2010b]
*Corynorhinus townsendii*,ZAG01,,JX416236,,,,[@Morse2012]
Dog,BK11,,FJ946847,,,,[@Bai2010]
Dog,BK62,,FJ946848,,,,[@Bai2010]
Dog,KK48,,FJ946850,,,,[@Bai2010]
Dog,KK49,,FJ946851,,,,[@Bai2010]
Dog,KK61,,FJ946852,,,,[@Bai2010]
Dog,KK14,,FJ946853,,,,[@Bai2010]
Dog,KK20,,FJ946854,,,,[@Bai2010]
Dog,KK45,,FJ946855,,,,[@Bai2010]
*Eidolon dupreanum*,1_CycDub,,KT751146,,,,[@Wilkinson2016]
*Eidolon dupreanum*,4_CycDub,,KT751148,,,,[@Wilkinson2016]
*Eidolon dupreanum*,5_CycDub,,KT751149,,,,[@Wilkinson2016]
*Eidolon dupreanum*,6_CycDub,,KT751150,,,,[@Wilkinson2016]
*Eidolon dupreanum*,7_CycDub,,KT751151,,,,[@Wilkinson2016]
*Eidolon helvum*,E1-105,HM363770,HM363765,MF288093,HM363775,MF288105,[@Kosoy2010b]
*Eidolon helvum*,E2-114,HM363771,HM363766,MF288094,HM363776,MF288106,[@Kosoy2010b]
*Eidolon helvum*,E3-106,HM363772,HM363767,MF288095,HM363777,MF288107,[@Kosoy2010b]
*Eidolon helvum*,Ew-111,HM363773,HM363768,MF288096,HM363778,MF288108,[@Kosoy2010b]
*Eidolon helvum*,B39301,KJ999687,KM030516,KM030541,KM215201,MF288109,[@Bai2015]
*Eidolon helvum*,B40014,KJ999689,KM030520,KM030542,KM215202,KM233479,[@Bai2015]
*Eptesicus nilssoni*,1157-3,KF003121,KF003115,,KF003118,KF003117,[@Veikkolainen2014]
*Eptesicus serotinus*,44722,KX300199,KX300200,KX300202,KX300203,MF288110,[@Urushadze2017]
*Harpyionycteris whiteheadi*,JAE1033,,JX416239,,,,[@Morse2012]
*Hipposideros armiger*,B095,,KP100356,,,,[@Anh2015]
*Hipposideros armiger*,B096,,KP100357,,,,[@Anh2015]
*Hipposideros larvatus*,B081,,KP100354,,,,[@Anh2015]
*Hipposideros larvatus*,B087,,KP100355,,,,[@Anh2015]
*Hipposideros larvatus*,B110,,KP100360,,,,[@Anh2015]
*Hipposideros* sp.,Mala15,,JX416238,,,,[@Morse2012]
*Hipposideros vittatus* (formerly *H. commersoni*),H-556,KM382254,HM545137,KM382252,,KM382258,[@Kosoy2010b]
Human,G19,,HM116784,,,,[@Podsiadly2010]
Human,G10,,HM116785,,,,[@Podsiadly2010]
Human,G14,,HM116786,,,,[@Podsiadly2010]
*Megaderma lyra*,B109,,KP100359,,,,[@Anh2015]
*Megaderma spasma*,B005,,KP100341,,,,[@Anh2015]
*Meriones libycus*,B29881,KT327035,KT327028,KT327037,KT327041,JF766260,[@Malania2016]
*Meriones libycus*,B29771,KT327034,KT327027,KT327036,KT327040,JF766255,[@Malania2016]
*Miniopterus aelleni*,11c_PenLep,,KT751143,,,,[@Wilkinson2016]
*Miniopterus gleni*,Gr16_NycSty,,KT751152,,,,[@Wilkinson2016]
*Miniopterus griveaudi*,Gr20_PenLep,,KT751153,,,,[@Wilkinson2016]
*Miniopterus griveaudi*,Gr6_NycSty,,KT751155,,,,[@Wilkinson2016]
*Miniopterus minor*,M1-44,MF288090,HM545139,MF288097,MF288101,MF288111,[@Kosoy2010b]
*Miniopterus natalensis*,M3-373,MF288091,HM545141,MF288098,MF288102,MF288112,[@Kosoy2010b]
*Miniopterus schreibersii*,No.05,JF500495,JF500511,,JF500543,,[@Lin2012]
*Miniopterus schreibersii*,44530,KX300175,KX300183,KX300185,KX300186,MF288113,[@Urushadze2017]
*Miniopterus schreibersii*,44608,KY679153,KX300195,KX300197,KX300198,MF288114,[@Urushadze2017]
*Miniopterus schreibersii*,44599,KX300191,KX300192,KX300193,KX300194,MF288115,[@Urushadze2017]
*Miniopterus schreibersii*,44593,KX300187,KY679154,KX300190,KX300188,MF288116,[@Urushadze2017]
*Miniopterus* sp.,M2-491,,HM545140,,,,[@Kosoy2010b]
*Miniopterus* sp.,12_PenLep,,KT751144,,,,[@Wilkinson2016]
*Miniopterus* sp.,13b_PenLep,,KT751145,,,,[@Wilkinson2016]
*Myotis blythii*,44731,KX300139,KX300140,KX300142,KX300143,MF288117,[@Urushadze2017]
*Myotis blythii*,44602,KX300116,KX300117,KX300119,KX300120,MF288118,[@Urushadze2017]
*Myotis blythii*,44601,KX300111,KX300112,KX300114,KX300115,MF288119,[@Urushadze2017]
*Myotis blythii*,44622,KX300121,KX300123,KX300125,KX300122,MF288120,[@Urushadze2017]
*Myotis blythii*,44711,KX300126,KX300127,KX300128,KX300129,MF288121,[@Urushadze2017]
*Myotis blythii*,44719,KX300134,KX300136,KX300138,KX300135,MF288122,[@Urushadze2017]
*Myotis blythii*,44715,KX300130,KX300131,KX300132,KX300133,MF288123,[@Urushadze2017]
*Myotis blythii*,44591,KX300106,KX300107,KX300109,KX300110,MF288124,[@Urushadze2017]
*Myotis daubentonii*,1160-1,KF003128,KF003122,,KF003125,KF003124,[@Veikkolainen2014]
*Myotis daubentonii*,2574-1,KF003135,KF003129,,KF003132,KF003131,[@Veikkolainen2014]
*Myotis daubentonii*,bat2053_2034,,KR822802,,,,[@Lilley2015]
*Myotis daubentonii*,M406,,AJ871613,,,,[@Concannon2005]
*Myotis emarginatus*,44617,KX300148,KX300149,KX300151,KX300152,MF288125,[@Urushadze2017]
*Myotis emarginatus*,44724,KX300153,KX300154,KX300156,KX300157,MF288126,[@Urushadze2017]
*Myotis emarginatus*,44544,KX300176,KX300145,KX300144,KX300147,MF288127,[@Urushadze2017]
*Myotis fimbriatus*,SD-73,,KX655821,,,,[@Han2017]
*Myotis fimbriatus*,SD-74-2,,KX655808,,,,[@Han2017]
*Myotis fimbriatus*,SD-72,,KX655834,,,,[@Han2017]
*Myotis fimbriatus*,SD-75,,KX655822,,,,[@Han2017]
*Myotis fimbriatus*,SD-70,,KX655829,,,,[@Han2017]
*Myotis fimbriatus*,SD-78,,KX655839,,,,[@Han2017]
*Myotis fimbriatus*,SD-74-1,,KX655827,,,,[@Han2017]
*Myotis fimbriatus*,SD-76,,KX655843,,,,[@Han2017]
*Myotis fimbriatus*,SD-62,,KX655832,,,,[@Han2017]
*Myotis grisescens*,UTK0803,,KX807176,,,,[@Lilley2017]
*Myotis grisescens*,UTK1106,,KX807175,,,,[@Lilley2017]
*Myotis keaysi*,SJ126,,KJ816667,,,,[@Judson2015]
*Myotis keaysi*,SJ125,,KJ816669,,,,[@Judson2015]
*Myotis keaysi*,SJ132,,KJ816689,,,,[@Judson2015]
*Myotis lucifugus*,DMR02097,,KX807171,,,,[@Lilley2017]
*Myotis lucifugus*,DMR02036,,KX807174,,,,[@Lilley2017]
*Myotis lucifugus*,DMR02098,,KX807173,,,,[@Lilley2017]
*Myotis lucifugus*,DMR02005,,KX807178,,KX807183,KX807186,[@Lilley2017]
*Myotis lucifugus*,DMR02028,,KX807179,,KX807184,KX807187,[@Lilley2017]
*Myotis lucifugus*,DMR02051,,KX807177,,KX807182,KX807185,[@Lilley2017]
*Myotis lucifugus*,DMR02050,,KX807172,,,,[@Lilley2017]
*Myotis myotis*,AS048,,JQ695836,,,,unpublished
*Myotis myotis*,AS036,,JQ695837,,,,unpublished
*Myotis myotis*,AS033,,JQ695838,,,,unpublished
*Myotis myotis*,AS025,,JQ695839,,,,unpublished
*Myotis myotis*,AS067,,JQ695840,,,,unpublished
*Myotis myotis*,AS071,,JQ695834,,,,unpublished
*Myotis myotis*,AS050,,JQ695835,,,,unpublished
*Myotis mystacinus*,M62,,AJ871612,,,,[@Concannon2005]
*Myotis nattererei*,ZAG03,,JX416241,,,,[@Morse2012]
*Myotis pequinius*,SD-123,,KX655815,,,,[@Han2017]
*Myotis pequinius*,SD-119,,KX655825,,,,[@Han2017]
*Myotis pequinius*,SD-120-2,,KX655816,,,,[@Han2017]
*Myotis pequinius*,SD-109,,KX655842,,,,[@Han2017]
*Myotis pequinius*,SD-142,,KX655830,,,,[@Han2017]
*Myotis pequinius*,SD-93,,KX655828,,,,[@Han2017]
*Myotis pequinius*,SD-111,,KX655841,,,,[@Han2017]
*Myotis pequinius*,SD-91,,KX655812,,,,[@Han2017]
*Myotis pequinius*,SD-99,,KX655823,,,,[@Han2017]
*Myotis pequinius*,SD-120-1,,KX655814,,,,[@Han2017]
*Myotis pequinius*,SD-122,,KX655820,,,,[@Han2017]
*Myotis pequinius*,SD-138,,KX655836,,,,[@Han2017]
*Myotis pequinius*,SD-96,,KX655833,,,,[@Han2017]
*Myotis pequinius*,SD-117,,KX655835,,,,[@Han2017]
*Myotis ricketti*,SD-83,,KX655811,,,,[@Han2017]
*Myotis* sp.,B32942,,JQ071390,,,,[@Bai2012a]
*Nyctalus noctula*,M451,,AJ871615,,,,[@Concannon2005]
*Pipistrellus pygmaeus*,44718,KX300177,KX300179,KX300178,KX300181,MF288128,[@Urushadze2017]
*Pipistrellus* sp.,M409,,AJ871611,,,,[@Concannon2005]
*Pipistrellus* sp.,M207,,AJ871614,,,,[@Concannon2005]
*Ptenochirus jagori*,P2874,,JX416255,,,,[@Morse2012]
*Pteropus hypomelanus*,E7,,JX416257,,,,[@Morse2012]
*Pteropus hypomelanus*,E5,,JX416256,,,,[@Morse2012]
*Rattus norvegicus*,1-1C,FN645499,FN645496,FN645496,FN645496,EU551157,[@Engel2011]
*Rhinolophus acuminatus*,B003,,KP100340,,,,[@Anh2015]
*Rhinolophus acuminatus*,B006,,KP100342,,,,[@Anh2015]
*Rhinolophus acuminatus*,B050,,KP100345,,,,[@Anh2015]
*Rhinolophus acuminatus*,B055,,KP100347,,,,[@Anh2015]
*Rhinolophus acuminatus*,B056,,KP100348,,,,[@Anh2015]
*Rhinolophus acuminatus*,B063,,KP100349,,,,[@Anh2015]
*Rhinolophus acuminatus*,B064,,KP100350,,,,[@Anh2015]
*Rhinolophus acuminatus*,B068,,KP100351,,,,[@Anh2015]
*Rhinolophus euryale*,44528,KX300105,KX300158,KX300160,KX300161,MF288129,[@Urushadze2017]
*Rhinolophus ferrumequinum*,SD-3,,KX655838,,,,[@Han2017]
*Rhinolophus ferrumequinum*,44706,KX300168,KX300169,KX300172,KX300173,MF288130,[@Urushadze2017]
*Rhinolophus ferrumequinum*,44658,KX300174,KX300165,KX300167,KX300170,MF288131,[@Urushadze2017]
*Rhinolophus ferrumequinum*,44552,KX300182,KY679155,KX300163,KX300164,MF288132,[@Urushadze2017]
*Rhinolophus pearsoni*,05_01_07,,JX416252,,,,[@Morse2012]
*Rhinolophus pusillus*,SD-19,,KX655824,,,,[@Han2017]
*Rhinolophus pusillus*,SD-16,,KX655818,,,,[@Han2017]
*Rhinolophus sinicus*,B049,,KP100344,,,,[@Anh2015]
*Rousettus aegyptiacus*,R-191,HM363769,HM363764,KM387321,HM363774,KM382255,[@Kosoy2010b]
*Scotophilus marovaza*,SC1_Basilia,,KT751157,,,,[@Wilkinson2016]
*Scotophilus robustus*,1b_Basilia,,KT751147,,,,[@Wilkinson2016]
*Sorex araneus*,DB5-6,NZ_JH725120,NZ_JH725114,NZ_JH725119,NZ_JH725114,,unpublished
*Tamiasciurus hudsonicus*,AR-15-3,FN645482,FN645480,FN645479,FN645480,,[@Engel2011]
*Triaenops persicus*,T-837,KM382253,HM545138,KM382251,MF288104,KM382257,[@Kosoy2010b]
*Tylonycteris* sp.,Mala11,,JX416246,,,,[@Morse2012]
